Trade_id,Trade Date,Trade Time,Book,Instrument,Buyer,Seller,Amount (MM),Bond Price,Settlement Date,Settlement Amount,Settlement Currency,Date Edit,Business Day of Edit,Account Edited,Edit Reason,Version Number,Block offset
trade_25,26/09/2016,11:03,ABC1,DE0001141745,CITI,CS,25,102.55,28/09/2016,205.1,EUR,,,,,,25
trade_26,26/09/2016,15:02,EFG3,IT0005188120,DB,CITI,26,101.69,28/09/2016,1525.35,EUR,,,,,,26
trade_27,29/09/2016,10:45,EFG3,GB00B1VWPC84,DB,CS,27,107.14,28/09/2016,964.26,GBP,,,,,,27
trade_28,29/09/2016,11:03,EFG3,DE0001141745,BAML,CITI,28,102.85,28/09/2016,308.55,EUR,,,,,,28
trade_29,26/09/2016,15:02,XYZ2,IT0005188120,CS,DB,29,101.159,28/09/2016,202.318,EUR,,,,,,29
trade_30,26/09/2016,10:45,HIJ4,IT0005188120,DB,DB,30,102.5912,27/09/2016,820.7296,GBP,,,,,,30
trade_31,29/09/2016,11:03,EFG3,GB00B1VWPC84,CITI,CS,31,102.429,30/09/2016,204.858,GBP,,,,,,31
trade_32,29/09/2016,15:02,ABC1,DE0001141745,DB,CITI,32,102.2668,30/09/2016,1534.002,EUR,,,,,,32
trade_33,26/09/2016,10:45,ABC1,IT0005188120,DB,DB,33,102.1046,27/09/2016,918.9414,EUR,,,,,,33
trade_34,26/09/2016,11:03,EFG3,IT0005188120,BAML,CS,34,101.9424,27/09/2016,305.8272,GBP,,,,,,34
trade_35,29/09/2016,15:02,ABC1,GB00B1VWPC84,BAML,CITI,35,101.7802,30/09/2016,661.5713,EUR,,,,,,35
trade_36,29/09/2016,10:45,EFG3,DE0001141745,DB,BAML,36,101.618,30/09/2016,630.0316,EUR,,,,,,36
trade_37,26/09/2016,11:03,ABC1,IT0005188120,CITI,DB,37,101.4558,27/09/2016,598.58922,EUR,,,,,,37
trade_38,26/09/2016,15:02,EFG3,IT0005188120,CITI,BAML,38,101.2936,27/09/2016,567.24416,EUR,,,,,,38
trade_39,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,39,101.1314,30/09/2016,535.99642,EUR,,,,,,39
trade_40,29/09/2016,11:03,ABC1,DE0001141745,DB,BAML,40,100.9692,30/09/2016,504.846,EUR,,,,,,40
trade_41,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,41,107.04,03/10/2016,1070.4,GBP,,,,,,41
trade_42,29/09/2016,11:03,ABC1,DE0001141745,CITI,CS,42,102.5,03/10/2016,512.5,EUR,,,,,,42
trade_43,26/09/2016,15:02,ABC1,IT0005188120,DB,CITI,43,101.59,28/09/2016,1219.08,EUR,,,,,,43
trade_44,26/09/2016,10:45,ABC1,GB00B1VWPC84,CS,DB,44,107.24,28/09/2016,857.92,GBP,,,,,,44
trade_45,26/09/2016,11:03,ABC1,DE0001141745,CITI,CS,45,102.55,28/09/2016,205.1,EUR,,,,,,45
trade_46,26/09/2016,15:02,EFG3,IT0005188120,DB,CITI,46,101.69,28/09/2016,1525.35,EUR,,,,,,46
trade_47,29/09/2016,10:45,EFG3,GB00B1VWPC84,DB,CS,47,107.14,28/09/2016,964.26,GBP,,,,,,47
trade_48,29/09/2016,11:03,EFG3,DE0001141745,BAML,CITI,48,102.85,28/09/2016,308.55,EUR,,,,,,48
trade_49,26/09/2016,15:02,XYZ2,IT0005188120,CS,DB,49,101.159,28/09/2016,202.318,EUR,,,,,,49
trade_50,26/09/2016,10:45,HIJ4,IT0005188120,DB,DB,50,102.5912,27/09/2016,820.7296,GBP,,,,,,50
trade_51,29/09/2016,11:03,EFG3,GB00B1VWPC84,CITI,CS,51,102.429,30/09/2016,204.858,GBP,,,,,,51
trade_52,29/09/2016,15:02,ABC1,DE0001141745,DB,CITI,52,102.2668,30/09/2016,1534.002,EUR,,,,,,52
trade_53,26/09/2016,10:45,ABC1,IT0005188120,DB,DB,53,102.1046,27/09/2016,918.9414,EUR,,,,,,53
trade_54,26/09/2016,11:03,EFG3,IT0005188120,BAML,CS,54,101.9424,27/09/2016,305.8272,GBP,,,,,,54
trade_55,29/09/2016,15:02,ABC1,GB00B1VWPC84,BAML,CITI,55,101.7802,30/09/2016,661.5713,EUR,,,,,,55
trade_56,29/09/2016,10:45,EFG3,DE0001141745,DB,BAML,56,101.618,30/09/2016,630.0316,EUR,,,,,,56
trade_57,26/09/2016,11:03,ABC1,IT0005188120,CITI,DB,57,101.4558,27/09/2016,598.58922,EUR,,,,,,57
trade_58,26/09/2016,15:02,EFG3,IT0005188120,CITI,BAML,58,101.2936,27/09/2016,567.24416,EUR,,,,,,58
trade_59,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,59,101.1314,30/09/2016,535.99642,EUR,,,,,,59
trade_60,29/09/2016,11:03,ABC1,DE0001141745,DB,BAML,60,100.9692,30/09/2016,504.846,EUR,,,,,,60
trade_61,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,61,107.04,03/10/2016,1070.4,GBP,,,,,,61
trade_62,29/09/2016,11:03,ABC1,DE0001141745,CITI,CS,62,102.5,03/10/2016,512.5,EUR,,,,,,62
trade_63,26/09/2016,15:02,ABC1,IT0005188120,DB,CITI,63,101.59,28/09/2016,1219.08,EUR,,,,,,63
trade_64,26/09/2016,10:45,ABC1,GB00B1VWPC84,CS,DB,64,107.24,28/09/2016,857.92,GBP,,,,,,64
trade_65,26/09/2016,11:03,ABC1,DE0001141745,CITI,CS,65,102.55,28/09/2016,205.1,EUR,,,,,,65
trade_66,26/09/2016,15:02,EFG3,IT0005188120,DB,CITI,66,101.69,28/09/2016,1525.35,EUR,,,,,,66
trade_67,29/09/2016,10:45,EFG3,GB00B1VWPC84,DB,CS,67,107.14,28/09/2016,964.26,GBP,,,,,,67
trade_68,29/09/2016,11:03,EFG3,DE0001141745,BAML,CITI,68,102.85,28/09/2016,308.55,EUR,,,,,,68
trade_69,26/09/2016,15:02,XYZ2,IT0005188120,CS,DB,69,101.159,28/09/2016,202.318,EUR,,,,,,69
trade_70,26/09/2016,10:45,HIJ4,IT0005188120,DB,DB,70,102.5912,27/09/2016,820.7296,GBP,,,,,,70
trade_71,29/09/2016,11:03,EFG3,GB00B1VWPC84,CITI,CS,71,102.429,30/09/2016,204.858,GBP,,,,,,71
trade_72,29/09/2016,15:02,ABC1,DE0001141745,DB,CITI,72,102.2668,30/09/2016,1534.002,EUR,,,,,,72
trade_73,26/09/2016,10:45,ABC1,IT0005188120,DB,DB,73,102.1046,27/09/2016,918.9414,EUR,,,,,,73
trade_74,26/09/2016,11:03,EFG3,IT0005188120,BAML,CS,74,101.9424,27/09/2016,305.8272,GBP,,,,,,74
trade_75,29/09/2016,15:02,ABC1,GB00B1VWPC84,BAML,CITI,75,101.7802,30/09/2016,661.5713,EUR,,,,,,75
trade_76,29/09/2016,10:45,EFG3,DE0001141745,DB,BAML,76,101.618,30/09/2016,630.0316,EUR,,,,,,76
trade_77,26/09/2016,11:03,ABC1,IT0005188120,CITI,DB,77,101.4558,27/09/2016,598.58922,EUR,,,,,,77
trade_78,26/09/2016,15:02,EFG3,IT0005188120,CITI,BAML,78,101.2936,27/09/2016,567.24416,EUR,,,,,,78
trade_79,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,79,101.1314,30/09/2016,535.99642,EUR,,,,,,79
trade_80,29/09/2016,11:03,ABC1,DE0001141745,DB,BAML,80,100.9692,30/09/2016,504.846,EUR,,,,,,80
trade_81,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,81,107.04,03/10/2016,1070.4,GBP,,,,,,81
trade_82,29/09/2016,11:03,ABC1,DE0001141745,CITI,CS,82,102.5,03/10/2016,512.5,EUR,,,,,,82
trade_83,26/09/2016,15:02,ABC1,IT0005188120,DB,CITI,83,101.59,28/09/2016,1219.08,EUR,,,,,,83
trade_84,26/09/2016,10:45,ABC1,GB00B1VWPC84,CS,DB,84,107.24,28/09/2016,857.92,GBP,,,,,,84
trade_85,26/09/2016,11:03,ABC1,DE0001141745,CITI,CS,85,102.55,28/09/2016,205.1,EUR,,,,,,85
trade_86,26/09/2016,15:02,EFG3,IT0005188120,DB,CITI,86,101.69,28/09/2016,1525.35,EUR,,,,,,86
trade_87,29/09/2016,10:45,EFG3,GB00B1VWPC84,DB,CS,87,107.14,28/09/2016,964.26,GBP,,,,,,87
trade_88,29/09/2016,11:03,EFG3,DE0001141745,BAML,CITI,88,102.85,28/09/2016,308.55,EUR,,,,,,88
trade_89,26/09/2016,15:02,XYZ2,IT0005188120,CS,DB,89,101.159,28/09/2016,202.318,EUR,,,,,,89
trade_90,26/09/2016,10:45,HIJ4,IT0005188120,DB,CS,90,102.5912,27/09/2016,820.7296,GBP,,,,,,90
trade_91,29/09/2016,11:03,EFG3,GB00B1VWPC84,CITI,CS,91,102.429,30/09/2016,204.858,GBP,,,,,,91
trade_92,29/09/2016,15:02,ABC1,DE0001141745,DB,CITI,92,102.2668,30/09/2016,1534.002,EUR,,,,,,92
trade_93,26/09/2016,10:45,ABC1,IT0005188120,DB,CS,93,102.1046,27/09/2016,918.9414,EUR,,,,,,93
trade_94,26/09/2016,11:03,EFG3,IT0005188120,BAML,CS,94,101.9424,27/09/2016,305.8272,GBP,,,,,,94
trade_95,29/09/2016,15:02,ABC1,GB00B1VWPC84,BAML,CITI,95,101.7802,30/09/2016,661.5713,EUR,,,,,,95
trade_96,29/09/2016,10:45,EFG3,DE0001141745,DB,BAML,96,101.618,30/09/2016,630.0316,EUR,,,,,,96
trade_97,26/09/2016,11:03,ABC1,IT0005188120,CITI,DB,97,101.4558,27/09/2016,598.58922,EUR,,,,,,97
trade_98,26/09/2016,15:02,EFG3,IT0005188120,CITI,BAML,98,101.2936,27/09/2016,567.24416,EUR,,,,,,98
trade_99,29/09/2016,10:45,ABC1,GB00B1VWPC84,DB,CS,99,101.1314,30/09/2016,535.99642,EUR,,,,,,99
trade_100,29/09/2016,11:03,ABC1,DE0001141745,DB,BAML,100,100.9692,30/09/2016,504.846,EUR,,,,,,100
